en,English,English
fr,French,français,langue française
it,Italian,Italiano
fa,Persian,فارسی
nl,Dutch,Nederlands,Vlaams
de,German,Deutsch
es,Spanish; Castilian,español,castellano
zh,Chinese,中文 (Zhōngwén),汉语,漢語
sv,Swedish,svenska
ja,Japanese,日本語 (にほんご／にっぽんご)
ko,Korean,한국어 (韓國語),조선말 (朝鮮語)
sr,Serbian,српски језик
he,Hebrew (modern),עברית
pt,Portuguese,Português
ro,Romanian, Moldavian,Moldovan,română
cy,Welsh,Cymraeg
vi,Vietnamese,Tiếng Việt
da,Danish,dansk
nb,Norwegian Bokmål,Norsk bokmål
pl,Polish,polski
el,Greek, Modern,Ελληνικά
mk,Macedonian,македонски јазик
bo,Tibetan Standard, Tibetan,Central,བོད་ཡིག
ca,Catalan; Valencian,Català
sk,Slovak,slovenčina
bs,Bosnian,bosanski jezik
tr,Turkish,Türkçe
is,Icelandic,Íslenska
ps,Pashto,Pushto,پښتو
mn,Mongolian,монгол
la,Latin,latine,lingua latina
lv,Latvian,latviešu valoda
sl,Slovene,slovenščina
ur,Urdu,اردو
id,Indonesian,Bahasa Indonesia
bg,Bulgarian,български език
qu,Quechua,Runa Simi,Kichwa
te,Telugu,తెలుగు
am,Amharic,አማርኛ
ml,Malayalam,മലയാളം
pa,Panjabi, Punjabi,ਪੰਜਾਬੀ,پنجابی‎
ky,Kirghiz, Kyrgyz,кыргыз тили
gl,Galician,Galego
hy,Armenian,Հայերեն
ar,Arabic,العربية
ru,Russian,русский язык
bn,Bengali,বাংলা
hu,Hungarian,Magyar
cs,Czech,česky,čeština
no,Norwegian,Norsk
fi,Finnish,suomi,suomen kieli
th,Thai,ไทย
eo,Esperanto,Esperanto
ka,Georgian,ქართული
bm,Bambara,bamanankan
uk,Ukrainian,українська
af,Afrikaans,Afrikaans
et,Estonian,eesti,eesti keel
ku,Kurdish,Kurdî,كوردی‎
fy,Western Frisian,Frysk
ta,Tamil,தமிழ்
lt,Lithuanian,lietuvių kalba
ms,Malay,bahasa Melayu,بهاس ملايو‎
jv,Javanese,basa Jawa
tg,Tajik,тоҷикӣ,toğikī,تاجیکی‎
hr,Croatian,hrvatski
ay,Aymara,aymar aru
kn,Kannada,ಕನ್ನಡ
uz,Uzbek,zbek,Ўзбек,أۇزبېك‎
sm,Samoan,gagana faa Samoa
iu,Inuktitut,ᐃᓄᒃᑎᑐᑦ
si,Sinhala, Sinhalese,සිංහල
wo,Wolof,Wollof
hi,Hindi,हिन्दी,हिंदी
ab,Abkhaz,аҧсуа
rw,Kinyarwanda,Ikinyarwanda
mr,Marathi (Marāṭhī),मराठी
kk,Kazakh,Қазақ тілі
sq,Albanian,Shqip
lo,Lao,ພາສາລາວ
eu,Basque,euskara,euskera
ne,Nepali,नेपाली
mt,Maltese,Malti
lb,Luxembourgish,Letzeburgesch,Lëtzebuergesch
tl,Tagalog,Wikang Tagalog,ᜏᜒᜃᜅ᜔ ᜆᜄᜎᜓᜄ᜔
